trial,policy,n_robots,n_tasks,total_distance,makespan
0,fifo,3,20,99.84653859272285,35.36230406115063
0,auction,3,20,52.691468518752245,21.3094650167003
1,fifo,6,10,42.51048718864093,10.78418728548973
1,auction,6,10,20.561240345290845,4.517228256090921
2,fifo,6,18,77.6533866814853,16.433743415191525
2,auction,6,18,48.036509338859474,14.008449187819025
3,fifo,3,16,68.63715348121283,25.23689184930834
3,auction,3,16,50.66949061632933,19.52954528008444
4,fifo,6,11,48.499601883123546,12.629149359138676
4,auction,6,11,33.56958356660027,7.747108296048911
5,fifo,4,7,39.58108625288113,13.700195517011718
5,auction,4,7,18.544975009165984,10.001596628037872
6,fifo,4,5,23.636757454779175,7.285918141997488
6,auction,4,5,20.343562857453918,6.898304479717934
7,fifo,6,22,132.54211865081055,25.541401835595288
7,auction,6,22,54.98485585518905,12.965672911877936
8,fifo,6,15,80.42711324146948,14.987786154718561
8,auction,6,15,33.53501163917397,11.32670826694308
9,fifo,6,20,88.23338612824968,16.418636952620325
9,auction,6,20,58.82922312566906,11.66118321921675
10,fifo,6,14,69.885237593,14.545171652401766
10,auction,6,14,28.233362873776706,7.1693726407048235
11,fifo,5,17,75.48202853039928,18.493960894459384
11,auction,5,17,45.165198973929705,13.41758257271876
12,fifo,6,5,18.27891053348366,6.764871800422137
12,auction,6,5,12.535443440359689,6.295732145602797
13,fifo,5,21,112.88841842523352,24.70486172695534
13,auction,5,21,50.509506366527795,12.732549881986852
14,fifo,3,6,29.924425638137166,12.285942597821986
14,auction,3,6,23.45633640898124,9.724014080254822
15,fifo,4,11,58.47304771900748,15.819482047212322
15,auction,4,11,32.346911663674355,9.954243507736255
16,fifo,5,16,95.89312938714566,22.26722077039687
16,auction,5,16,51.579285464439494,14.955954144311082
17,fifo,4,9,45.59679170075236,14.923796410524107
17,auction,4,9,30.2455971689545,14.446872318469179
18,fifo,3,6,36.549501947034564,13.899404165072916
18,auction,3,6,22.037208049897394,8.670567098248195
